s,n,time_ms
1,1000,0.979
5,1000,0.855
6,1000,0.847
7,1000,0.759
8,1000,0.752
9,1000,0.752
10,1000,0.757
11,1000,0.757
12,1000,0.765
13,1000,0.825
14,1000,0.792
15,1000,0.846
20,1000,0.817
25,1000,0.812
1,10000,12.812
5,10000,10.0
6,10000,9.375
7,10000,9.688
8,10000,9.688
9,10000,10.0
10,10000,10.0
11,10000,9.844
12,10000,9.844
13,10000,10.0
14,10000,9.688
15,10000,10.0
20,10000,10.312
25,10000,10.625
1,100000,150.338
5,100000,132.601
6,100000,128.845
7,100000,129.466
8,100000,130.089
9,100000,127.992
10,100000,128.589
11,100000,128.479
12,100000,130.024
13,100000,129.878
14,100000,130.245
15,100000,130.119
20,100000,129.967
25,100000,140.962
1,1000000,2934.563
5,1000000,2783.624
6,1000000,2825.428
7,1000000,1831.2
8,1000000,1821.756
9,1000000,1836.782
10,1000000,1817.776
11,1000000,1820.232
12,1000000,1818.075
13,1000000,1823.841
14,1000000,1817.65
15,1000000,1842.662
20,1000000,1871.729
25,1000000,1872.552
1,10000000,26420.249
5,10000000,24657.653
6,10000000,24573.177
7,10000000,24584.604
8,10000000,24541.663
9,10000000,24542.548
10,10000000,24405.83
11,10000000,24391.294
12,10000000,24390.413
13,10000000,24431.474
14,10000000,24401.35
15,10000000,24377.499
20,10000000,25171.332
25,10000000,25117.772
